City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ushuaia,AR,-54.8,-68.3,56.86,72,0,12.66,clear sky
1,Port Alfred,ZA,-33.5906,26.891,73.36,71,0,10.54,clear sky
2,Inhambane,MZ,-23.865,35.3833,73.38,83,20,4.61,few clouds
3,Sagarejo,GE,41.734,45.3315,23.43,95,99,2.57,overcast clouds
4,Aksu,CN,41.1231,80.2644,32.85,35,99,1.77,overcast clouds
5,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,17.27,scattered clouds
6,Vila Velha,BR,-20.3297,-40.2925,73.94,95,40,2.3,scattered clouds
7,West Bay,KY,19.3667,-81.4167,75.99,89,6,1.01,clear sky
8,Busselton,AU,-33.65,115.3333,86.97,34,0,5.12,clear sky
9,Kirovskiy,RU,45.0917,133.5136,13.03,89,100,8.75,light snow
10,Takoradi,GH,4.8845,-1.7554,78.17,88,77,5.26,broken clouds
11,Brae,GB,60.3964,-1.353,44.1,79,100,12.08,overcast clouds
12,Joniskelis,LT,56.0253,24.1689,30.07,91,100,15.68,overcast clouds
13,Shetpe,KZ,44.1667,52.1167,13.06,71,35,2.98,scattered clouds
14,Villacarrillo,ES,38.1156,-3.0848,50.95,96,100,11.01,overcast clouds
15,Chuy,UY,-33.6971,-53.4616,64.72,85,0,6.89,clear sky
16,Hermanus,ZA,-34.4187,19.2345,63.81,84,81,5.41,broken clouds
17,Touros,BR,-5.1989,-35.4608,77.11,80,73,7.63,broken clouds
18,Taltal,CL,-25.4,-70.4833,66.85,78,2,2.19,clear sky
19,Jasper,US,37.2001,-94.3502,37.26,69,0,6.91,clear sky
20,Urengoy,RU,65.9667,78.3667,-13.92,99,100,6.31,overcast clouds
21,Manaure,CO,11.7751,-72.4445,77.52,81,34,8.93,scattered clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,72.09,91,40,18.01,scattered clouds
23,Ouallam,NE,14.3188,2.0866,67.33,24,26,11.39,scattered clouds
24,East London,ZA,-33.0153,27.9116,71.49,75,0,11.1,clear sky
25,Jamestown,US,42.097,-79.2353,29.01,72,100,5.75,overcast clouds
26,Hithadhoo,MV,-0.6,73.0833,81.52,75,62,10.09,broken clouds
27,San Andres,CO,12.5847,-81.7006,80.62,78,40,11.5,scattered clouds
28,Husavik,IS,66.0449,-17.3389,35.98,99,100,20.18,overcast clouds
29,Mahebourg,MU,-20.4081,57.7,83.25,69,40,12.66,scattered clouds
30,Georgetown,MY,5.4112,100.3354,84.13,77,40,8.05,scattered clouds
31,Dikson,RU,73.5069,80.5464,-36.06,93,24,9.1,few clouds
32,Aripuana,BR,-9.1667,-60.6333,69.42,99,100,1.16,overcast clouds
33,Kosh-Agach,RU,50.0,88.6667,13.37,86,63,2.75,broken clouds
34,Koslan,RU,63.4564,48.8989,-30.84,99,26,4.34,scattered clouds
35,Roald,NO,62.5833,6.1333,42.94,65,98,3.44,overcast clouds
36,Barcelona,ES,41.3888,2.159,59.9,71,20,6.91,few clouds
37,Upernavik,GL,72.7868,-56.1549,-18.08,97,57,7.96,broken clouds
38,Kaele,CM,10.1092,14.4508,66.16,24,90,10.69,overcast clouds
39,Jardim,BR,-21.4803,-56.1381,69.1,81,0,2.08,clear sky
40,Pangody,RU,65.85,74.4859,-13.76,95,100,17.07,overcast clouds
41,Bredasdorp,ZA,-34.5322,20.0403,66.9,86,79,2.77,broken clouds
